app_id,app_type,developer,publisher,supported_systems,release_date,rating_percent,reviews_count,tags,categories,hardware_categories,accessibility_categories,price_usd_current,price_usd_lowest,price_eur_current,price_eur_lowest,price_cis_current,price_cis_lowest
728530,Game,TOM CREATE | 株式会社トムクリエイト,BANDAI NAMCO Entertainment | 株式会社バンダイナムコエンターテインメント,Windows,27 November 2019 – 22:55:00 UTC,80.53,8069,Mechs | Tactical RPG | Turn-Based Tactics | Anime | RPG | Robots | JRPG | Cinematic | Character Customization | Turn-Based | Turn-Based Strategy | Singleplayer | Strategy RPG | Isometric | Top-Down | Sci-fi | 2.5D | Space | Story Rich | Strategy,Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Remote Play on Tablet | Family Sharing,Partial Controller Support,,$39.99,-75%$9.99,"39,99€","-75%9,99€",$25.99,-75%$6.49
285190,Game,Relic Entertainment | Feral Interactive (Mac) | Feral Interactive (Linux),Relic Entertainment | Feral Interactive (Mac) | Feral Interactive (Linux),Windows | Linux,27 April 2017 – 14:00:00 UTC,48.52,23276,Warhammer 40K | Strategy | RTS | Sci-fi | Multiplayer | Action | Games Workshop | MOBA | Base Building | Singleplayer | Gore | War | Atmospheric | Tactical | Co-op | Great Soundtrack | Story Rich | Violent | Classic | Casual,Single-player | Online PvP | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Stats | Includes level editor | Family Sharing | Multi-player | PvP,,,$39.99,-90%$3.99,"39,99€","-90%3,99€",$39.99,-90%$1.99
57690,Game,Haemimont Games,Kalypso Media Digital,Windows,1 September 2011 – 17:00:00 UTC,89.31,12598,City Builder | Simulation | Strategy | Management | Comedy | Sandbox | Singleplayer | Great Soundtrack | Economy | Real-Time with Pause | Politics | Building | Resource Management | Political | Funny | Cold War | RTS | Atmospheric | Capitalism | God Game,Single-player | Steam Achievements | Steam Trading Cards | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),,,$14.99,-99%$0.39,"14,99€","-99%0,27€",$11.49,-85%$1.88
270150,Game,Osumia Games,Osumia Games,Windows | Linux,2 April 2015 – 17:02:00 UTC,85.87,16431,Top-Down Shooter | Action | Tactical | Military | Artificial Intelligence | Open World | Sandbox | Wargame | Top-Down | Moddable | Multiplayer | Singleplayer | Loot | PvE | Co-op | Online Co-Op | Shooter | Co-op Campaign | RPG | Isometric,Single-player | Online PvP | LAN PvP | Online Co-op | LAN Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Family Sharing | Multi-player | Co-op | PvP,Partial Controller Support,,$14.99,-85%$2.24,"14,99€","-85%2,24€",$8.99,-85%$1.34
692850,Game,ArtPlay,505 Games,Windows,18 June 2019 – 13:00:00 UTC,91.6,40684,Metroidvania | RPG | Female Protagonist | Action | Adventure | Anime | Side Scroller | 2.5D | Platformer | Great Soundtrack | Gothic | Dark Fantasy | Exploration | Singleplayer | Crafting | 2D | Difficult | Nudity | Indie | Sexual Content,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | Steam Achievements | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | PvP | Co-op | Shared/Split Screen,Full Controller Support,Subtitle Options | Custom Volume Controls | Stereo Sound | Playable without Timed Input | Adjustable Difficulty,$39.99,-75%$9.99,"39,99€","-75%9,99€",$24.99,-75%$4.62
841370,Game,Visual Concepts,2K,Windows,11 September 2018 – 04:00:00 UTC,39.55,22617,Sports | Basketball | Simulation | Multiplayer | Singleplayer | eSports | Co-op | Great Soundtrack | Competitive | Funny | Controller | Violent | Open World | Loot | Realistic | Local Multiplayer,Single-player | Steam Achievements | In-App Purchases | Steam Cloud | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | Shared/Split Screen,Full Controller Support,,N/A,-84%$9.59,N/A,"-84%7,99€",N/A,-84%$4.79
3054490,Game,VuVuu,VuVuu,Windows,1 July 2024 – 07:10:28 UTC,,,Casual | Clicker | Simulation | 2D | Immersive Sim | Cute | Pixel Graphics | Free to Play | Indie | Family Friendly | Relaxing | Singleplayer,Single-player | Steam Achievements | Profile Features Limited,,,,,,,,
584400,Game,Christian Whitehead | Headcannon | PagodaWest Games,SEGA,Windows,29 August 2017 – 16:00:00 UTC,91.79,27222,Great Soundtrack | 2D | Platformer | Retro | Classic | Pixel Graphics | Fast-Paced | Colorful | Adventure | Action | Side Scroller | Singleplayer | Family Friendly | Local Co-Op | Casual | Multiplayer | Arcade | Action-Adventure | Cartoony | Remake,Single-player | Shared/Split Screen PvP | Shared/Split Screen Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Steam Leaderboards | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Remote Play Together | Family Sharing | Shared/Split Screen | Multi-player | PvP | Co-op,Full Controller Support,,$19.99,-90%$1.99,"19,99€","-90%1,99€",$19.99,-90%$1.24
1225330,Game,Visual Concepts,2K,Windows,4 September 2020 – 17:00:00 UTC,41.87,38942,Basketball | Sports | Simulation | Character Customization | Realistic | Multiplayer | Action | Third Person | Team-Based | 3D | Singleplayer | Local Co-Op | Online Co-Op | Local Multiplayer | Co-op | Competitive | 4️⃣ 4 Player Local | eSports | Management | Immersive Sim,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | Steam Achievements | In-App Purchases | Steam Cloud | Remote Play on Tablet | Remote Play Together | Family Sharing | Multi-player | PvP | Co-op | Shared/Split Screen,Full Controller Support,,N/A,-84%$9.59,N/A,"-84%9,59€",N/A,-84%$4.79
1473480,Game,Valiant,Valiant,Windows,24 August 2022 – 05:59:10 UTC,47.57,7708,FPS | Free to Play | PvP | Shooter | Competitive | First-Person | Multiplayer | Action | Military | Sniper | Singleplayer | Massively Multiplayer | Sexual Content | Violent | PvE | Online Co-Op | Co-op | Co-op Campaign | Strategy | Zombies,Online PvP | In-App Purchases | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),,,,,,,,
265550,Game,Capcom Game Studio Vancouver,Capcom,Windows,5 September 2014 – 16:00:00 UTC,75.46,19895,Zombies | Open World | Action | Co-op | Gore | Survival | Comedy | Open World Survival Craft | Multiplayer | Third Person | Funny | Crafting | Adventure | Online Co-Op | Sandbox | Horror | Singleplayer | Survival Horror | Atmospheric | RPG,Single-player | Steam Achievements | Steam Trading Cards | Captions available | Steam Cloud | Steam Leaderboards | Remote Play on TV | Family Sharing | Multi-player | Co-op,Full Controller Support,,$29.99,-80%$5.99,"29,99€","-80%5,99€",$22.49,-80%$4.49
1222730,Game,MOTIVE,Electronic Arts,Windows,1 October 2020 – 15:00:00 UTC,64.53,27679,Flight | Space | VR | Multiplayer | Singleplayer | Sci-fi | Action | Simulation | First-Person | PvP | Spaceships | Online Co-Op | Co-op | Controller | Shooter | Space Sim | Adventure | FPS | Female Protagonist | Strategy,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),VR Supported | Full Controller Support | Native Steam Controller,Camera Comfort | Stereo Sound | Surround Sound | Chat Speech-to-text | Keyboard Only Option | Adjustable Difficulty,-90%$3.99,-95%$1.99,"-90%3,99€","-95%1,99€",-90%$3.99,-95%$1.99
1987080,Game,MrFatcat,MrFatcat | Dropsiick,Windows,20 June 2022 – 16:59:17 UTC,79.55,45867,Horror | Multiplayer | Survival Horror | Puzzle | Psychological Horror | Co-op | Online Co-Op | Adventure | Exploration | First-Person | Atmospheric | FPS | 3D | Dark | Mystery | Sci-fi | VR | Story Rich | PvE | Early Access,Single-player | Online Co-op | Steam Achievements | Steam Workshop | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),Tracked Controller Support,,$6.99,-45%$3.84,"6,99€","-10%3,59€",$4.69,-45%$2.57
244160,Game,Gearbox Software | Aspyr (Mac),Gearbox Publishing | Aspyr (Mac),Windows,25 February 2015 – 18:00:00 UTC,85.84,13917,Space | Strategy | RTS | Sci-fi | Classic | Great Soundtrack | Story Rich | Atmospheric | Multiplayer | Remake | Simulation | Tactical | Singleplayer | Moddable | Epic | Action | Adventure | Futuristic | Female Protagonist | 4X,Single-player | Steam Achievements | Steam Workshop | Steam Cloud | Family Sharing | Multi-player,,Adjustable Text Size | Camera Comfort | Custom Volume Controls | Save Anytime,$34.99,-90%$3.49,"31,99€","-90%3,19€",$18.99,-90%$1.89
