name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
Halo: The Master Chief Collection,343 Industries | Splash Damage | Ruffian Games | Bungie | Saber Interactive,Xbox Game Studios,03.12.2019,Great Soundtrack | FPS | Classic | Multiplayer | Story Rich | Sci-fi | Co-op | First-Person | Epic | Shooter | Action | Singleplayer | Aliens | Lore-Rich | Beautiful | Space | Atmospheric | Adventure | Horror | Online Co-Op,Single-player | Online PvP | LAN PvP | Online Co-op | LAN Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),91.15,253735.0,9.99,5890,6698,161024
The Outlast Trials,Red Barrels,Red Barrels,05.03.2024,Horror | Multiplayer | Co-op | Survival Horror | Psychological Horror | First-Person | PvE | Stealth | Character Customization | Action | Survival | Action-Adventure | Dark Humor | Dark | Atmospheric | Realistic | Alternate History | Science | Adventure | Management,Single-player | Online Co-op | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),91.52,92984.0,11.99,5835,6741,36689
Grounded 2,Obsidian Entertainment | Eidos-Montréal,Xbox Game Studios,29.07.2025,Survival | Action | Adventure | Multiplayer | Base Building | Co-op | Open World | Exploration | Early Access | Crafting | Open World Survival Craft | Sandbox | Online Co-Op | Third Person | RPG | First-Person | Singleplayer | Horror | Split Screen,Single-player | Online Co-op | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),78.77,18598.0,29.99,5816,8982,49836
鬼谷八荒 Tale of Immortal,鬼谷工作室,鬼谷工作室 | Lightning Games,26.05.2023,Management | Singleplayer | Simulation | Mythology | Sandbox | RPG | Tactical RPG | Dating Sim | Choose Your Own Adventure | Action | Adventure | Exploration | Hack and Slash | 2D | Story Rich | Action RPG | Procedural Generation | Hand-drawn | Strategy RPG | Action-Adventure,Single-player | Steam Achievements | Steam Workshop | Steam Cloud | Remote Play on Tablet | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),54.37,226267.0,10.99,5696,13236,184171
Sid Meier's Civilization VII,Firaxis Games,2K,10.02.2025,Grand Strategy | Historical | Military | 4X | Simulation | Diplomacy | Multiplayer | Strategy | City Builder | Economy | War | Turn-Based Tactics | Tactical | Singleplayer | Turn-Based Strategy | Alternate History | Hex Grid | Political Sim | Stylized | PvP,Single-player | Online PvP | LAN PvP | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | HDR Supported | Family Sharing | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),48.07,52111.0,45.49,5692,7703,84558
Albion Online,Sandbox Interactive GmbH,Sandbox Interactive GmbH,16.05.2018,MMORPG | Free to Play | Open World | Massively Multiplayer | Sandbox | RPG | Multiplayer | Crafting | Survival | PvP | Loot | PvE | Economy | Medieval | Co-op | Fantasy | Strategy | Action | Singleplayer | Difficult,MMO | Online PvP | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP,77.69,89061.0,0.0,5638,10327,27227
CODE VEIN II,Bandai Namco Studios Inc.,Bandai Namco Entertainment Inc.,29.01.2026,Action | RPG | Souls-like | Action RPG | Anime | Singleplayer | Character Customization | JRPG | Open World | Vampire | Female Protagonist | Political | Difficult | Politics | Story Rich | Atmospheric | Sexual Content | Psychological Horror | Dark Fantasy,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing,54.05,3511.0,69.99,5632,8244,11499
Diablo® IV,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",17.10.2023,Action RPG | Hack and Slash | Loot | Isometric | RPG | Online Co-Op | Dungeon Crawler | Singleplayer | Co-op | Multiplayer | Third Person | Action | PvE | Fantasy | Dark Fantasy | MMORPG | Story Rich | Gore | Exploration | Violent,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),63.54,64597.0,22.49,5625,7674,55561
Eternal Return,Nimble Neuron,Nimble Neuron | SapStaR Games,20.07.2023,Free to Play | MOBA | Anime | Sexual Content | eSports | PvP | Survival | Multiplayer | Top-Down | Combat | Action | Crafting | 3D | Strategy | Tactical | Character Customization | MMORPG | Indie | Point & Click | Real Time Tactics,Online PvP | Steam Trading Cards | In-App Purchases | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),75.07,70877.0,0.0,5576,20662,52853
Europa Universalis IV,Paradox Development Studio | Paradox Tinto,Paradox Interactive,13.08.2013,Grand Strategy | Strategy | Historical | Simulation | 4X | Alternate History | Wargame | Military | Diplomacy | Economy | Replay Value | Sandbox | Political | Real-Time with Pause | Moddable | Nonlinear | Co-op | Singleplayer | Management | Multiplayer,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Family Sharing | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP | Co-op,85.81,137840.0,4.99,5375,9688,48165
Persona 5 Royal,ATLUS,SEGA,21.10.2022,JRPG | Story Rich | Turn-Based Combat | Great Soundtrack | Anime | RPG | Singleplayer | Dating Sim | Party-Based RPG | Multiple Endings | Turn-Based Strategy | Emotional | Visual Novel | Sexual Content | Colorful | Adventure | Heist | Soundtrack | Detective | Violent,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing,95.12,121533.0,17.99,5323,8440,35474
Conan Exiles,Funcom,Funcom,08.05.2018,Survival | Open World | Nudity | Building | Open World Survival Craft | Crafting | Multiplayer | Sandbox | RPG | Massively Multiplayer | Adventure | Action | Online Co-Op | Exploration | Singleplayer | Co-op | Violent | Fantasy | Gore | PvP,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Workshop | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),78.03,110973.0,3.99,5278,7985,53402
Barony,Turning Wheel LLC,Turning Wheel LLC,23.06.2015,Multiplayer | Dungeon Crawler | Action Roguelike | Roguelike | Online Co-Op | Local Multiplayer | Local Co-Op | Fantasy | 4️⃣ 4 Player Local | First-Person | Action RPG | Co-op | Singleplayer | RPG | Co-op Campaign | Immersive Sim | Split Screen | Pixel Graphics | Difficult | Indie,Single-player | Online Co-op | LAN Co-op | Shared/Split Screen Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Includes level editor | Remote Play Together | Family Sharing | Multi-player | Co-op | Shared/Split Screen | Cloud Gaming | Cloud Gaming (NVIDIA),89.32,13652.0,2.24,5242,5875,6790
Call of Duty: Black Ops III,Treyarch | Aspyr (Mac),Activision | Aspyr (Mac),06.11.2015,Multiplayer | Zombies | FPS | Shooter | Action | First-Person | Singleplayer | Co-op | Futuristic | Illuminati | Hero Shooter | Robots | Sci-fi | Gore | Great Soundtrack | Story Rich | Atmospheric | Parkour | Quick-Time Events | Split Screen,Single-player | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Leaderboards | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | Co-op | Valve Anti-Cheat | Shared/Split Screen,83.93,224511.0,9.74,5197,5688,63681
Darkest Dungeon®,Red Hook Studios,Red Hook Studios,19.01.2016,Turn-Based Combat | Dungeon Crawler | Dark Fantasy | Roguelike | RPG | Lovecraftian | Difficult | Turn-Based | Singleplayer | Perma Death | Strategy | Atmospheric | Dark | Indie | 2D | Roguelite | Horror | Gothic | Fantasy | Kickstarter,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Tablet | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),90.57,156444.0,1.99,5089,8453,20064
Monster Train 2,Shiny Shoe,Big Fan Games,21.05.2025,Roguelike Deckbuilder | Card Game | Roguelike | Deckbuilding | Turn-Based Strategy | Strategy | Turn-Based Tactics | Singleplayer | Demons | Fantasy | Trains | Multiplayer | PvP | Colorful | Choices Matter | Difficult | Magic | Procedural Generation | Replay Value | Indie,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),92.73,8612.0,18.74,5060,5067,18503
BALL x PIT,Kenny Sun and Friends,Devolver Digital,15.10.2025,Action | Roguelite | Arcade | Bullet Hell | Roguelike | Action Roguelike | Shoot 'Em Up | Top-Down Shooter | 2D | Pixel Graphics | Top-Down | Building | Base Building | Crafting | Combat | Singleplayer | Indie | Controller | Idler | RPG,Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),93.39,22126.0,11.99,4993,5722,35402
LORT,Big Distraction,Big Distraction,21.01.2026,Action Roguelike | Online Co-Op | Third-Person Shooter | Multiplayer | Roguelite | Action | Co-op | Singleplayer | Funny | Difficult | PvE | Procedural Generation | 3D | Looter Shooter | Third Person | Choices Matter | Controller | Fantasy | Magic | Combat,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Family Sharing | Early Access | Multi-player | Co-op,74.16,2244.0,9.89,4986,6198,9899
FOR HONOR,Ubisoft Montreal | Ubisoft Quebec | Ubisoft Toronto | Blue Byte,Ubisoft,14.02.2017,Medieval | Swordplay | Action | Multiplayer | Fighting | PvP | Third Person | War | Gore | Co-op | Singleplayer | Online Co-Op | Hack and Slash | Realistic | Strategy | Atmospheric | RPG | Fantasy | Story Rich | MOBA,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),68.78,157850.0,1.49,4973,5803,225831
Torchlight: Infinite,XD,XD,10.05.2023,RPG | Hack and Slash | Loot | Action RPG | Action | Multiplayer | Adventure | Free to Play | Dungeon Crawler | Combat | Top-Down | Action-Adventure | Singleplayer | Fantasy | Drama | Story Rich | Character Customization | Co-op | Time Travel | Magic,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Co-op | Multi-player,68.64,19016.0,0.0,4963,9513,23715
NBA 2K25,Visual Concepts,2K,04.09.2024,Sports | Basketball | Simulation | eSports | 3D | Controller | Management | PvP | Character Customization | Team-Based | Immersive Sim | Trading | Co-op | Multiplayer | Local Co-Op | Local Multiplayer | Online Co-Op | Singleplayer | Gambling | 4️⃣ 4 Player Local,Single-player | Online PvP | Shared/Split Screen PvP | Online Co-op | Shared/Split Screen Co-op | Steam Achievements | In-App Purchases | Steam Cloud | Remote Play Together | Family Sharing | Multi-player | PvP | Co-op | Shared/Split Screen,58.54,42046.0,9.79,4890,10925,56948
Counter-Strike,Valve,Valve,01.11.2000,Action | FPS | Multiplayer | Shooter | Classic | Team-Based | First-Person | Competitive | Tactical | 1990's | eSports | PvP | Old School | Military | Strategy | Survival | Score Attack | 1980s | Assassin | Nostalgia,Online PvP | Shared/Split Screen PvP | Family Sharing | Multi-player | Valve Anti-Cheat | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),96.3,257094.0,0.99,4888,13690,319586
The Bazaar,Tempo,Tempo,13.08.2025,Strategy | Auto Battler | Deckbuilding | Card Battler | Card Game | PvP | Asynchronous Multiplayer | PvE | Multiplayer | Fantasy | Sci-fi | Capitalism | Economy | Adventure | Family Friendly | Tactical | Futuristic | Combat | Choose Your Own Adventure | Colorful,Single-player | Online PvP | In-App Purchases | Multi-player | PvP,77.86,7299.0,9.99,4879,7404,8069
Raft,Redbeet Interactive,Axolot Games,20.06.2022,Survival | Multiplayer | Open World Survival Craft | Co-op | Crafting | Open World | Building | Base Building | Online Co-Op | Adventure | Sandbox | First-Person | Singleplayer | Underwater | Simulation | Early Access | Action | Indie | Strategy | Massively Multiplayer,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),92.18,364710.0,9.99,4858,9708,101096
Europa Universalis V,Paradox Tinto,Paradox Interactive,04.11.2025,Grand Strategy | Resource Management | 4X | Strategy | Trading | Historical | Multiplayer | Simulation | Alternate History | Wargame | Economy | Diplomacy | Immersive Sim | 3D | Realistic | War | Singleplayer | Cinematic | Building | Choices Matter,Single-player | Online PvP | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Family Sharing | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),73.25,25191.0,58.48,4833,10740,77320
INAZUMA ELEVEN: Victory Road,LEVEL5 Inc.,LEVEL5 Inc.,13.11.2025,Sports | Football (Soccer) | RPG | Anime | PvP | Collectathon | Competitive | Character Customization | 3D | Story Rich | Action | Deckbuilding | Tactical | Drama | Singleplayer | Multiplayer | Emotional | JRPG | Immersive | Football (American),Single-player | Online PvP | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | HDR Supported | Family Sharing | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),87.72,11053.0,69.99,4660,9964,52795
TEKKEN 8,Bandai Namco Studios Inc.,Bandai Namco Entertainment,25.01.2024,Fighting | 3D Fighter | Multiplayer | Action | Local Multiplayer | eSports | PvP | Arcade | Singleplayer | Competitive | Character Customization | Martial Arts | Anime | Great Soundtrack | Sexual Content | Controller | Casual | Difficult | Gambling | Story Rich,Single-player | Online PvP | Shared/Split Screen PvP | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Multi-player | PvP | Shared/Split Screen,55.31,67664.0,23.99,4652,6682,49977
SEGA FOOTBALL CLUB CHAMPIONS,SEGA,SEGA,22.01.2026,Simulation | Sports | 2D | Football (Soccer) | 3D | Realistic | Modern | Singleplayer | PvE | Free to Play | Multiplayer | PvP | Character Customization | Controller | Tutorial | Asynchronous Multiplayer,Single-player | Online PvP | Cross-Platform Multiplayer | In-App Purchases | Multi-player | PvP,,,0.0,4650,8370,10488
StarRupture,Creepy Jar,Creepy Jar,06.01.2026,Base Building | Survival | Open World Survival Craft | Co-op | Automation | Open World | Multiplayer | Crafting | Exploration | Adventure | Simulation | Shooter | Sandbox | Sci-fi | Colony Sim | Immersive Sim | Singleplayer | Action | Online Co-Op | First-Person,Single-player | Online Co-op | Steam Cloud | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),79.2,8237.0,15.99,4594,9232,42864
Dune: Awakening,Funcom,Funcom,10.06.2025,Open World Survival Craft | Survival | Adventure | RPG | Open World | PvP | Base Building | Exploration | Multiplayer | PvE | Sci-fi | Building | Character Customization | Sandbox | Online Co-Op | Action | Third Person | Crafting | Massively Multiplayer | Lore-Rich,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA) | Co-op,69.68,72044.0,32.49,4565,7655,189333
Guild Wars 2®,ArenaNet®,ArenaNet® | NCSOFT,23.08.2022,MMORPG | Adventure | RPG | Free to Play | Character Customization | Fantasy | Massively Multiplayer | Third Person | PvP | 3D | Multiplayer | Atmospheric | Class-Based | Combat | Strategy | Crafting | Online Co-Op | Exploration | Story Rich | Singleplayer,MMO | Online PvP | Online Co-op | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),86.92,26246.0,0.0,4557,7434,10875
Ready or Not,VOID Interactive,VOID Interactive,13.12.2023,Tactical | Realistic | FPS | Shooter | Multiplayer | Singleplayer | Co-op | Horror | First-Person | Action | Violent | Gun Customization | Psychological Horror | Combat | Crime | Gore | Modern | Atmospheric | Co-op Campaign | America,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),76.04,312289.0,24.99,4508,6180,55174
THRONE AND LIBERTY,NCSOFT | FirstSpark Games,Amazon Game Studios,01.10.2024,MMORPG | Free to Play | Open World | Massively Multiplayer | RPG | Fantasy | Character Customization | PvP | PvE | Multiplayer | Action | Adventure | Third Person | Exploration | Action-Adventure | Online Co-Op | Combat | Crafting | Co-op | Emotional,MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),66.85,67447.0,0.0,4481,8478,336300
Lethal Company,Zeekerss,Zeekerss,23.10.2023,Online Co-Op | Horror | First-Person | Co-op | Survival Horror | Funny | Exploration | Psychological Horror | Sci-fi | PvE | Atmospheric | Procedural Generation | Aliens | Time Management | Adventure | Dungeon Crawler | Action | Early Access | Action-Adventure | Perma Death,Single-player | Online Co-op | Family Sharing | Early Access | Multi-player | Co-op,96.16,501643.0,6.49,4459,5742,240817
Kenshi,Lo-Fi Games,Lo-Fi Games,06.12.2018,Open World | Sandbox | RPG | Survival | Strategy | Building | Base Building | Singleplayer | Post-apocalyptic | Crafting | City Builder | Indie | Adventure | Simulation | Management | RTS | Character Customization | Ninja | Alternate History | Steampunk,Single-player | Steam Trading Cards | Steam Workshop | Includes level editor | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),94.18,108442.0,8.99,4386,5688,11654
"Warhammer 40,000: Rogue Trader",Owlcat Games,Owlcat Games,07.12.2023,CRPG | Turn-Based Strategy | Strategy | Adventure | Warhammer 40K | Atmospheric | RPG | Fantasy | Character Customization | Co-op | Dark Fantasy | Action | Turn-Based Combat | Multiplayer | Choices Matter | Sci-fi | Singleplayer | Story Rich | Space | Tactical,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA) | Multi-player | Co-op,86.0,40835.0,19.78,4377,7244,45405
Dyson Sphere Program,Youthcat Studio,Gamirror Games,21.01.2021,Automation | Space | Base Building | Building | Resource Management | Open World | Simulation | Sci-fi | Management | Sandbox | City Builder | Strategy | Singleplayer | Space Sim | 3D | Third Person | Early Access | Indie | RTS | Casual,Single-player | Steam Achievements | Family Sharing | Early Access | Cloud Gaming | Cloud Gaming (NVIDIA),96.01,89158.0,15.99,4338,8210,59815
RV There Yet?,Nuggets Entertainment,Nuggets Entertainment,21.10.2025,Multiplayer | Co-op | Funny | Online Co-Op | Adventure | Physics | Driving | First-Person | Exploration | 3D | Indie | Atmospheric | Offroad | Casual | Singleplayer | Action | Stylized | Psychological Horror | Controller | Character Customization,Single-player | Online Co-op | Steam Cloud | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),89.53,69192.0,7.19,4296,10054,100002
Supermarket Together,DeadDevsTellNoLies,DeadDevsTellNoLies,09.08.2024,Simulation | Online Co-Op | Multiplayer | Free to Play | Management | Economy | Singleplayer | Immersive Sim | Trading | Life Sim | First-Person | Building | Capitalism | Sandbox | Resource Management | 3D | Casual | Realistic | Inventory Management | Indie,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),93.14,85189.0,0.0,4275,9640,47836
雀魂麻将(MahjongSoul),Catfood Studio,Catfood Studio,15.07.2020,Mahjong | Tabletop | Free to Play | Difficult | Mature | Multiplayer | PvP | Anime | Casual | Cute | Strategy | Singleplayer | Gambling | Third-Person Shooter | Psychological | Card Game | Shooter | Action | Massively Multiplayer | RPG,Single-player | Online PvP | Cross-Platform Multiplayer | In-App Purchases | PvP | Multi-player,44.91,79434.0,0.0,4264,11766,39075
MY HERO ULTRA RUMBLE,Byking Inc.,Bandai Namco Entertainment,28.09.2023,Anime | Free to Play | Multiplayer | Battle Royale | PvP | 3D Fighter | Team-Based | Action | 3D | Online Co-Op | Superhero | Third Person | Combat | Casual | Co-op | Shooter | eSports | Third-Person Shooter | Stylized | Sexual Content,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op,67.03,23991.0,0.0,4260,4574,46591
Green Hell,Creepy Jar,Creepy Jar,05.09.2019,Open World Survival Craft | Survival | Multiplayer | Online Co-Op | Open World | Crafting | Action | Base Building | Singleplayer | Adventure | Co-op | Exploration | First-Person | Survival Horror | Sandbox | Simulation | Atmospheric | Building | Realistic | Action-Adventure,Single-player | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Tablet | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),84.07,90487.0,2.06,4255,11672,20259
Shadowverse: Worlds Beyond,"Cygames, Inc.","Cygames, Inc.",15.06.2025,Free to Play | Card Battler | Trading Card Game | Deckbuilding | PvP | Competitive | Strategy | Turn-Based | Card Game | Character Customization | Sexual Content | Multiplayer | Singleplayer | Casual | RPG | Anime | JRPG | Cute | Fantasy | Psychological Horror,Single-player | Online PvP | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP,29.86,23351.0,0.0,4253,9787,120488
Brotato,Blobfish,Blobfish,23.06.2023,Roguelike | Singleplayer | Action Roguelike | Bullet Hell | Survival | Local Co-Op | Multiplayer | Sci-fi | Arena Shooter | Roguelite | Hack and Slash | Replay Value | Arcade | Top-Down Shooter | Casual | Action | Co-op | 2D | Controller | RPG,Single-player | Shared/Split Screen Co-op | Steam Achievements | Steam Trading Cards | Steam Workshop | Steam Cloud | Remote Play on TV | Remote Play Together | Family Sharing | Co-op | Shared/Split Screen | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),95.19,109210.0,2.99,4211,7900,38905
BLOODSTRIKE,NetEase Games,NetEase Games,13.03.2025,Action | Battle Royale | Shooter | FPS | Hero Shooter | Multiplayer | Free to Play | Adventure | Massively Multiplayer | Strategy | Survival | PvP | Controller | Early Access | Nudity | Hentai | Third Person | First-Person | Sexual Content | Gore,Online PvP | Online Co-op | Cross-Platform Multiplayer | In-App Purchases | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA) | PvP | Co-op,79.48,15889.0,0.0,4167,5175,6680
Victoria 3,Paradox Development Studio,Paradox Interactive,25.10.2022,Grand Strategy | Economy | Historical | Political Sim | Strategy | Capitalism | Politics | Diplomacy | Management | Simulation | Alternate History | Moddable | Political | Resource Management | Real-Time with Pause | Sandbox | Singleplayer | Replay Value | Multiplayer | Military,Single-player | Online PvP | Cross-Platform Multiplayer | Steam Achievements | Steam Workshop | Steam Cloud | Family Sharing | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),68.55,59251.0,11.99,4117,6277,70100
Aimlabs,Statespace,Statespace,17.06.2023,Free to Play | FPS | Shooter | Simulation | Multiplayer | Singleplayer | First-Person | eSports | Action | Competitive | Sniper | Indie | Casual | Score Attack | Fast-Paced | Difficult | Tactical | Adventure | Third-Person Shooter | Early Access,Single-player | Steam Achievements | Steam Workshop | In-App Purchases | Steam Cloud | Stats | Steam Leaderboards | Includes level editor | Cloud Gaming | Cloud Gaming (NVIDIA),90.43,132200.0,0.0,4030,6819,15141
SnowRunner,Saber Interactive,Focus Entertainment,17.05.2021,Simulation | Automobile Sim | Multiplayer | Adventure | Driving | Exploration | Realistic | Open World | Sandbox | First-Person | Third Person | Atmospheric | Snow | Immersive Sim | Racing | Physics | Nature | ATV | Team-Based | PvE,Single-player | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),88.67,50746.0,11.99,4004,9839,12027
Sea of Thieves,Rare Ltd,Xbox Game Studios,03.06.2020,Multiplayer | Open World | Adventure | Pirates | Co-op | Online Co-Op | PvP | Sailing | Action | First-Person | Exploration | Naval | PvE | Funny | Massively Multiplayer | FPS | Atmospheric | Singleplayer | Swordplay | Great Soundtrack,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | In-App Purchases | Remote Play on Phone | Remote Play on Tablet | Family Sharing | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),88.11,365819.0,13.99,3995,7776,66906
STAR WARS™: The Old Republic™,Broadsword,Electronic Arts,21.07.2020,Free to Play | MMORPG | Multiplayer | Character Customization | Open World | RPG | Story Rich | Choices Matter | Massively Multiplayer | Sci-fi | Adventure | Space | Action | Third Person | PvP | Atmospheric | Action RPG | Controller | Party-Based RPG | Great Soundtrack,MMO | Steam Achievements | Steam Trading Cards | In-App Purchases | Multi-player | PvP | Co-op,88.2,71807.0,0.0,3989,5853,34210
It Takes Two,Hazelight Studios,Electronic Arts,26.03.2021,Co-op | Multiplayer | Split Screen | Local Co-Op | Online Co-Op | Puzzle | Adventure | Story Rich | Local Multiplayer | Co-op Campaign | Puzzle Platformer | Action-Adventure | 3D Platformer | Emotional | Platformer | Action | Exploration | Atmospheric | Minigames | Female Protagonist,Online Co-op | Shared/Split Screen Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play Together | Multi-player | Co-op | Shared/Split Screen | Cloud Gaming | Cloud Gaming (NVIDIA),94.3,248282.0,7.99,3985,21044,71039
Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios | Deep Silver,13.02.2018,Medieval | RPG | Open World | Singleplayer | Realistic | Historical | Story Rich | First-Person | Adventure | Swordplay | Nudity | Action | Choices Matter | Choose Your Own Adventure | Atmospheric | Horses | Action RPG | Indie | Kickstarter | Crowdfunded,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on TV | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),83.42,174755.0,2.99,3905,7807,96069
Quarantine Zone: The Last Check,Brigada Games,Devolver Digital,12.01.2026,Zombies | Simulation | Singleplayer | Post-apocalyptic | Choices Matter | First-Person | Realistic | 3D | Military | Atmospheric | Resource Management | Dark Humor | Management | Immersive Sim | Base Building | Life Sim | America | Drama | Emotional | Building,Single-player | Steam Achievements | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),78.48,8417.0,17.99,3862,7004,31653
MONSTER HUNTER RISE,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",12.01.2022,Action | Online Co-Op | RPG | Character Customization | Hunting | Multiplayer | Action RPG | Co-op | Singleplayer | Third Person | JRPG | PvE | Fantasy | Anime | Dragons | 3D | Nature | Open World | Atmospheric | Souls-like,Single-player | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | HDR Supported | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),81.82,119394.0,7.99,3810,9137,231360
MX Bikes,PiBoSo,PiBoSo,07.10.2019,Motocross | Motorbike | Multiplayer | VR | Simulation | Realistic | Offroad | Racing | Moddable | Controller | eSports | Automobile Sim | Bikes | Early Access | Physics | Difficult | Immersive Sim | First-Person | 3D | Third Person,Single-player | Online PvP | LAN PvP | Family Sharing | Early Access | Multi-player | PvP,92.4,32966.0,27.99,3789,4378,5369
STALCRAFT: X,EXBO,EXBO,09.12.2022,Free to Play | Multiplayer | MMORPG | FPS | Shooter | Adventure | Action | First-Person | Horror | Looter Shooter | Atmospheric | Massively Multiplayer | PvP | Combat | RPG | Story Rich | PvE | Tactical | Team-Based | Alternate History,MMO | Online PvP | Online Co-op | Steam Achievements | In-App Purchases | PvP | Co-op | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),73.12,92898.0,0.0,3717,21481,40311
