name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
20 Small Mazes,FLEB,FLEB,16.02.2024,Puzzle | 2D | Casual | Relaxing | Colorful | Logic | Abstract | Minimalist | Family Friendly | Adventure | Singleplayer | Indie | Free to Play,Single-player | Steam Achievements | Steam Cloud | Profile Features Limited,95.56,8413.0,0.0,20,25,15492
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",21.03.2025,Exploration | Female Protagonist | JRPG | Collectathon | Hack and Slash | Party-Based RPG | Anime | Action RPG | Action | Open World | RPG | Cute | Third Person | Story Rich | Adventure | Crafting | Fantasy | Atmospheric | Singleplayer | Great Soundtrack,Single-player | Steam Achievements | Steam Cloud | Family Sharing,63.11,3078.0,45.49,20,56,14067
Call of Duty: Advanced Warfare,Sledgehammer Games | Raven Software,Activision,03.11.2014,Dog | FPS | Action | Multiplayer | Shooter | Futuristic | First-Person | Sci-fi | Singleplayer | Linear | America | War | Quick-Time Events | Military | Illuminati | Online Co-Op | Co-op | PvP | Fast-Paced | Mechs,Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Remote Play on TV | Family Sharing | Multi-player | Valve Anti-Cheat,64.36,25301.0,14.99,19,58,12675
Zaccaria Pinball,Magic Pixel Kft.,Magic Pixel Kft.,16.10.2025,Free to Play | Simulation | Casual | Action | Sports | Indie | Pinball | Arcade | VR | Racing | Local Multiplayer | Multiplayer | 4️⃣ 4 Player Local | Retro | Singleplayer | Replay Value | 3D | Family Friendly | Score Attack | 1980s,Single-player | Online PvP | Shared/Split Screen PvP | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Steam Leaderboards | Remote Play Together | Shared/Split Screen | Multi-player | PvP,77.99,2150.0,0.0,19,45,16461
Poker Night 2,Telltale Games,Telltale Games,26.04.2013,Card Game | Comedy | Casual | Singleplayer | Gambling | Funny | Strategy | Sports | Point & Click | Atmospheric | Board Game | Simulation | Controller,Single-player | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing,85.1,7305.0,0.99,18,32,11260
Heart Clicker,Vacantknight5,Vacantknight Studios,23.06.2024,Clicker | Idler | Dark | Psychological Horror | Relaxing | Cartoony | Colorful | Strategy | Memes | Arcade | Time Management | Casual | Minimalist | Stylized | Point & Click | Family Friendly | Singleplayer | Automation | 2D | Free to Play,Single-player | Steam Achievements | Steam Cloud | Profile Features Limited,,,0.0,18,62,13176
Skillshot City,Nik Nak Studios,Nik Nak Studios,23.05.2017,PvP | Roguelite | Battle Royale | Free to Play | Top-Down Shooter | Arena Shooter | Multiplayer | Action | Shooter | Online Co-Op | Action Roguelike | Top-Down | Colorful | Retro | Roguelike | Indie | Co-op | Character Customization | Singleplayer | Early Access,Single-player | Online PvP | Online Co-op | Steam Achievements | In-App Purchases | Early Access | Multi-player | PvP | Co-op,80.17,2530.0,0.0,17,32,214143
再刷一把 PlayAgain,滑稽工作室,滑稽工作室,21.07.2022,Turn-Based Combat | Adventure | RPG | Pixel Graphics | Strategy | Loot | Party-Based RPG | JRPG | Turn-Based Strategy | Turn-Based Tactics | Idler | Strategy RPG | 2D | Colorful | Fantasy | Singleplayer | Alternate History | Magic | Indie | RPGMaker,Single-player | Steam Cloud | Family Sharing,65.07,4523.0,1.3,17,39,12812
Call of Duty: Advanced Warfare - Multiplayer,Sledgehammer Games,Activision,,Dog | Action,Single-player | Multi-player | Steam Achievements | Family Sharing,,,,16,23,35017
Duke Nukem Forever,Gearbox Software,2K,14.06.2011,FPS | Action | Nudity | Shooter | Aliens | Singleplayer | Comedy | Multiplayer | First-Person | Sci-fi | Mature | Funny | Gore | Dark Humor | Classic | Adventure | Memes | Old School | Linear | Atmospheric,Single-player | Steam Achievements | Steam Cloud | Stats | Steam Leaderboards | Family Sharing | Multi-player,67.99,11343.0,2.99,15,46,13321
Friday the 13th: The Game,IllFonic,Gun Media,26.05.2017,Horror | Multiplayer | Survival Horror | Gore | Survival | Violent | Co-op | Third Person | Action | Stealth | Psychological Horror | Dark | Mature | Atmospheric | Open World | Funny | Adventure | Singleplayer | Difficult | Nudity,Steam Achievements | Stats | Steam Leaderboards | Remote Play on TV | Family Sharing | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),79.11,77212.0,2.99,15,28,16096
F1 2019,Codemasters,Codemasters | Electronic Arts,27.06.2019,Racing | Simulation | Sports | Automobile Sim | Multiplayer | Driving | Realistic | Singleplayer | Arcade | VR | Controller,Single-player | Online PvP | Steam Achievements | Steam Workshop | In-App Purchases | Steam Cloud | Steam Leaderboards | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | PvP,87.85,21475.0,7.49,15,74,12736
Return to Monkey Island,Terrible Toybox,Devolver Digital,19.09.2022,Point & Click | Adventure | Comedy | Puzzle | Funny | Singleplayer | Story Rich | 2D | Hand-drawn | Pirates | Nostalgia | Cartoon | Drama | Choices Matter | Colorful | Family Friendly | Casual | 1990's | Cartoony | Stylized,Single-player | Steam Achievements | Steam Cloud | Family Sharing,88.6,8882.0,7.49,15,69,15539
Unplagued,Euphoric Brothers,Euphoric Brothers,10.10.2024,Online Co-Op | Horror | Multiplayer | First-Person | Exploration | Psychological Horror | Funny | Procedural Generation | Co-op | Survival Horror | Atmospheric | Dungeon Crawler | Adventure | 3D | Action | Action-Adventure | Early Access | Medieval | Casual | Singleplayer,Single-player | Online Co-op | Family Sharing | Multi-player | Co-op,33.51,4940.0,0.0,15,22,10199
Two Worlds II HD,Reality Pump Studios,"Topware Interactive, ACE",03.02.2011,RPG | Open World | Fantasy | Third Person | Exploration | Singleplayer | Action RPG | Multiplayer | Adventure | Co-op | Crafting | Story Rich | Action | Hack and Slash | Medieval | Magic | Dark Fantasy | Inventory Management | Atmospheric | Stealth,Single-player | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | In-App Purchases | Steam Cloud | Remote Play on TV | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),62.83,6922.0,1.99,13,48,10863
